metric,label,n_high,mean_high,sd_high,n_low,mean_low,sd_low,mean_difference,ci95_low_welch,ci95_high_welch,t,df,p_value,hedges_g,q_bh
iat_d_score,IAT D score,30,1.0222009755536385,0.61474127389789091,32,0.3635180758943759,0.54491134793947171,0.65868289965926263,0.36262009348725432,0.95474570583127094,4.4534169933314871,58.012284778903791,3.9055751335616408e-05,1.1219588610820121,0.00019527875667808205
accuracy,Accuracy,30,0.9402083333333332,0.093089387042159952,32,0.96562499999999996,0.053998394540052994,-0.025416666666666754,-0.064655999029207351,0.013822665695873843,-1.303892014950996,45.908372688488001,0.19877078751590033,-0.33257502888437152,0.24846348439487542
compatible_rt_ms,Compatible RT,30,715.58678421396166,154.83662019933561,32,732.90885553861904,146.98095901779431,-17.322071324657372,-94.147321614368423,59.503178965053678,-0.45114268230371141,59.182412426182736,0.6535354737738861,-0.11340421477713002,0.6535354737738861
incompatible_rt_ms,Incompatible RT,30,1254.280029560942,461.73993073727075,32,898.16865695502815,295.56374801477386,356.11137260591386,156.78253162352667,555.44021358830105,3.5905462484256678,48.819786293931969,0.00076423919568098183,0.91348231648900868,0.0012737319928016364
rt_difference_ms,Incompatible minus compatible RT,30,538.69324534698035,427.84675059264276,32,165.25980141640909,277.82060259284907,373.43344393057123,188.0343346717857,558.83255318935676,4.0471774213917406,49.258268040491863,0.00018266429059143706,1.0292537502582173,0.00045666072647859268
