participant_id,community_group,endpoint_id,lock,erp_component,window_start_ms,window_end_ms,electrodes,compatibility,stimulus_factor,stimulus_level,semantic_cell_id,retained_trial_count,mean_amplitude_uv
ERP011,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-1.2580838723940411
ERP012,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,18,-11.28299791661248
ERP012,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-12.389682715698521
ERP012,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-8.5890773371453975
ERP012,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-7.1317873797985474
ERP013,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-0.077167087592495492
ERP013,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-0.81484310124267956
ERP013,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-2.5953583651230296
ERP013,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-1.6133823279584902
ERP014,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,14,-0.6324394625291081
ERP014,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,14,-1.7377228082715308
ERP014,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-1.3360659299560944
ERP014,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,16,-0.5043988339199067
ERP015,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,18,-3.5887536563502334
ERP015,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,19,-2.6349405976796931
ERP015,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-3.5713538022615166
ERP015,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-3.5977384557804344
ERP017,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-0.65740613733255038
ERP017,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,19,1.132082502630638
ERP017,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-0.19468209201915398
ERP017,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,1.5929144303703027
ERP018,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-3.295322979753418
ERP018,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-1.3322142256401674
ERP018,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-1.5225499778726004
ERP018,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,17,-0.71680975609367803
ERP019,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-3.8787965145039247
ERP019,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-2.690100585368262
ERP019,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-3.3914455100302363
ERP019,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-3.5008062530607038
ERP020,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,9,-1.1064270344579712
ERP020,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,8,3.4917484719772611
ERP020,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,18,-2.2563026592675053
ERP020,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,0.70280926435754476
ERP021,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,15,-3.7074938961155524
ERP021,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,15,-4.6946061075221044
ERP021,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-3.7339459921196712
ERP021,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,18,-1.320795845994573
ERP022,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,1.2539807702460228
ERP022,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,2.7968476850806976
